"testnewid_lag","ccode","id","fdi","pcj","econ_devel","econ_size","econ_growth","kaopen","xr","lf","lifeexp"
3120000,770,122,663.561706542969,0,1284.57141113281,1.42266e+11,2.42913889884949,-1.13058197498322,1.12669372558594,50.7000007629395,60.3379974365234
3123120,770,122,3556.74682617188,1,1581.341796875,2.03135e+11,-1.38202083110809,-1.13058197498322,1.21413743495941,50.5999984741211,62.5428314208984
2260000,771,14,38.2895889282227,1,567.193420410156,69817514596,2.46784353256226,-1.13058197498322,1.04748797416687,74.4000015258789,55.1483306884766
2170000,780,93,48.9645538330078,0,732.357543945312,10942158964,-2.48046135902405,-1.81162095069885,1.00448513031006,61.9000015258789,64.4421691894531
2580000,780,93,406.499633789062,0,2850.45581054688,54178612751,2.8159966468811,0.136977404356003,1.14986646175385,56.0999984741211,74.6376647949219
1431430,800,151,1763.4150390625,0,1348.91174316406,68124445628,3.31523084640503,-0.0871519967913628,1.02631986141205,81.8000030517578,69.0814971923828
2038120,811,86,635.064147949219,0,819.179748535156,10261308807,9.56338500976562,-1.81162095069885,1.13825225830078,79.5999984741211,58.083667755127
1653300,812,89,26.9899997711182,0,713.620361328125,3086362479,1.44265389442444,-1.81162095069885,1.08075165748596,81.6999969482422,54.5231666564941
1641640,820,112,883.4287109375,0,2336.91552734375,32163998520,9.022141456604,0.9939906001091,1.05880212783813,59.5999984741211,65.1253356933594
1643280,820,112,2601.25244140625,0,2923.36279296875,42290930085,3.30309820175171,2.53183603286743,1.04235088825226,59.4000015258789,68.3323364257812
2340000,850,73,-1858.91442871094,1,1937.18395996094,3.62702e+11,5.58739185333252,2.53183603286743,1.04873311519623,65.0999984741211,63.5869979858398
2760000,910,126,-5.42487335205078,0,1365.44396972656,5788176846,6.75442552566528,-0.0871519967913628,1.04941058158875,72.4000015258789,57.1418342590332
2762760,910,126,-35.4453506469727,0,1877.78686523438,9331671372,-6.46714973449707,-1.13058197498322,1.10659313201904,71.5999984741211,59.2574996948242
